source,target,weight
00000000002678950580,00000000000055167432,0.000513522766176
00000000002678950580,00000000003409703834,0.00129533678756
00000000002678950580,00000000002792974586,0.00147492625369
00000000002678950580,00000000000152240489,0.00047619047619
00000000002678950580,00000000004582160903,0.00213219616205
00000000002678950580,00000000000134201362,0.00081499592502
00000000002678950580,00000000003837691162,0.000878734622144
00000000002678950580,00000000003965555000,0.000553097345133
00000000002678950580,00000000000079071774,0.0384615384615
00000000002678950580,00000000003336700099,0.00433369447454
00000000002678950580,00000000000119761018,0.00161290322581
00000000002678950580,00000000003292816602,0.00174418604651
00000000002678950580,00000000003249833412,0.00297619047619
00000000002678950580,00000000003527418314,0.000166389351082
00000000002678950580,00000000003328973874,0.00035360678925
00000000002678950580,00000000003337443193,0.0004
00000000002678950580,00000000003313055305,0.00118764845606
00000000002678950580,00000000003917865196,0.000192233756248
00000000002678950580,00000000000438961173,0.000827814569536
00000000002678950580,00000000003684931951,0.000224215246637
00000000002678950580,00000000000941862163,0.000307408545958
00000000002678950580,00000000001133179542,0.00561797752809
00000000002678950580,00000000000158060489,0.000971682398667
00000000002678950580,00000000004665964152,0.000269978401728
00000000004919104252,00000000001329729295,0.00282485875706
00000000004919104252,00000000002917324339,0.0625
00000000000161716607,00000000000051024711,0.0049504950495
00000000000416058680,00000000000044335525,0.00134048257373
00000000000416058680,00000000000263077868,0.166666666667
00000000000416058680,00000000002431820274,0.0590909090909
00000000000416058680,00000000000282123485,0.0042735042735
00000000000416058680,00000000000996884442,0.25
00000000000416058680,00000000000398962495,0.5
00000000000416058680,00000000000114251189,0.00341296928328
00000000000164335216,00000000004219381696,0.0166666666667
00000000000164335216,00000000000223141517,0.0833333333333
00000000000164335216,00000000001871304199,0.0014450867052
00000000003466294934,00000000003399380952,0.005
00000000003466294934,00000000001938827029,0.000188536953243
00000000003466294934,00000000003683677098,0.0014164305949
00000000003466294934,00000000003527418314,0.000166389351082
00000000003466294934,00000000003328973874,0.00035360678925
00000000003466294934,00000000002826635156,0.000120481927711
00000000003466294934,00000000003316751953,0.0113636363636
00000000003466294934,00000000002846793152,0.000314663310258
00000000003466294934,00000000003307115520,0.000328083989501
00000000000616611362,00000000000304754319,0.0454545454545
00000000000616611362,00000000000262299947,0.0625
00000000000308639519,00000000000405427035,0.00114678899083
00000000000308639519,00000000000144944472,0.125
00000000000308639519,00000000003249530210,0.00769230769231
00000000000308639519,00000000000132385468,0.000801282051282
00000000000308639519,00000000002284802828,0.111111111111
00000000000308639519,00000000000308639519,0.5
00000000000308639519,00000000003006989562,0.0166666666667
00000000000308639519,00000000000115622213,0.00632911392405
00000000000308639519,00000000000157903916,0.0333333333333
00000000000561308629,00000000000113597793,0.00140056022409
00000000000561308629,00000000000210883184,0.0166666666667
00000000000561308629,00000000000341442516,0.000332889480692
00000000000076025576,00000000004249234033,0.00103092783505
00000000000076025576,00000000003705854174,0.000268096514745
00000000000076025576,00000000000158060489,0.000138811771238
00000000000076025576,00000000004869859025,0.0294117647059
00000000000076025576,00000000002846793152,0.000314663310258
00000000000076025576,00000000003307115520,0.000328083989501
00000000000076025576,00000000003965555000,0.000553097345133
00000000000076025576,00000000003615401833,0.00044014084507
00000000000076025576,00000000003732148402,0.000347947112039
00000000000076025576,00000000003305849628,0.0011655011655
00000000000076025576,00000000003292816602,0.000581395348837
00000000000076025576,00000000001938827029,0.000188536953243
00000000000076025576,00000000000154950688,0.000646830530401
00000000000076025576,00000000003302972648,0.00124688279302
00000000000076025576,00000000003337443193,0.0008
00000000000076025576,00000000000941862163,0.000153704272979
00000000000076025576,00000000000169218664,0.000237642585551
00000000000076025576,00000000000359586820,0.00089928057554
00000000000076025576,00000000003320492418,0.00174825174825
00000000000076025576,00000000003267303714,0.0012987012987
00000000000076025576,00000000003506540593,0.00031867431485
00000000000076025576,00000000004665964152,0.000269978401728
00000000001882240962,00000000000197703350,0.0021186440678
00000000002538610445,00000000001585553167,0.000363372093023
00000000002538610445,00000000000256300291,0.000158679784195
00000000000455559569,00000000000341442516,0.000332889480692
00000000000592958970,00000000002551904306,0.0012285012285
00000000000592958970,00000000000197703350,0.00423728813559
00000000000592958970,00000000000873162157,0.00169491525424
00000000000159512330,00000000000342278996,0.0167785234899
00000000000159512330,00000000000220639742,0.166666666667
00000000000159512330,00000000002260218592,0.142857142857
00000000000159512330,00000000001121880024,0.0208333333333
00000000000159512330,00000000000798125641,0.0454545454545
00000000000159512330,00709040117873295360,0.0925925925926
00000000000159512330,00000000000109832345,0.00520833333333
00000000000159512330,00000000000344915876,0.0243902439024
00000000000159512330,00000000000368505203,0.1
00000000000159512330,00000000000255240911,0.125
00000000000159512330,00000000000910395792,0.06
00000000000159512330,00705531811758268417,0.25
00000000000159512330,00000000002723228629,0.0192307692308
00000000000159512330,00000000000246721009,0.1
00000000000159512330,00000000003662565554,0.00806451612903
00000000000159512330,00000000000052435001,0.178571428571
00000000000159512330,00000000000356543189,0.05
00000000000159512330,00000000000783908341,0.0735294117647
00000000000159512330,00000000000416058680,0.00793650793651
00000000000159512330,00000000003129355014,0.00903225806452
00000000000159512330,00000000003246242114,0.030303030303
00000000000159512330,00000000003922067234,0.0243902439024
00000000000159512330,00000000000387423445,0.111111111111
00000000000159512330,00000000002226145717,0.125
00000000000159512330,00000000000128809411,0.0714285714286
